product_id,variant_id,brand,perfume_name,variant_title,size_or_format,available,price_inr,compare_at_price_inr,sku,product_url,variant_image_url
8912213082366,46978295988478,Parfums De Marly,Castley EDP,10 ML DECANT,10 ML DECANT,False,1650.00,1650.00,,https://scentoria.co.in/products/castley-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_Decant_b0256c13-5139-4f9f-969e-7c9559963143.jpg?v=1757318339
8912213082366,46978296021246,Parfums De Marly,Castley EDP,20 ML DECANT,20 ML DECANT,False,3100.00,3100.00,,https://scentoria.co.in/products/castley-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_Decant_9219a1de-64fb-416b-9050-53b776f50294.jpg?v=1757318339
8912213082366,46978296054014,Parfums De Marly,Castley EDP,30 ML DECANT,30 ML DECANT,False,4450.00,4450.00,,https://scentoria.co.in/products/castley-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/30_ML_Decant_581196fe-18ac-4219-9ff7-fae098a60973.jpg?v=1757318339
8912213082366,47204842045694,Parfums De Marly,Castley EDP,125 ML TESTER,125 ML TESTER,False,14250.00,0.00,,https://scentoria.co.in/products/castley-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Ingredients_1000x1000_0db3e253-b872-47a2-89b2-3e756e539c40.webp?v=1755585694
8912213082366,46978296086782,Parfums De Marly,Castley EDP,75 ML RETAIL,75 ML RETAIL,False,9950.00,10500.00,,https://scentoria.co.in/products/castley-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Castley_EDP_75_ML.jpg?v=1757318339
8912213082366,46978296119550,Parfums De Marly,Castley EDP,125 ML RETAIL,125 ML RETAIL,False,15250.00,15950.00,,https://scentoria.co.in/products/castley-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Castley_EDP.jpg?v=1751264491
9043745505534,47483357495550,Parfums De Marly,Castley EDP Partial,18-19 ML TESTER,18-19 ML TESTER,False,3250.00,0.00,,https://scentoria.co.in/products/castley-edp-partial,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/IMG_3258_2_-Photoroom.png?v=1774262673
8898135195902,47817197420798,Mind Games,Castling Extrait De Parfum,2 ML SAMPLE,2 ML SAMPLE,True,550.00,550.00,,https://scentoria.co.in/products/castling-extrait-de-parfum,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Castling_Extrait_De_Parfum_2_ML.jpg?v=1771826583
8898135195902,47817075818750,Mind Games,Castling Extrait De Parfum,10 ML DECANT,10 ML DECANT,True,2450.00,2450.00,,https://scentoria.co.in/products/castling-extrait-de-parfum,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_Decant_3255fcc7-ac67-4da7-97c1-c8ba0c2bfd29.jpg?v=1771826583
8898135195902,47817075851518,Mind Games,Castling Extrait De Parfum,20 ML DECANT,20 ML DECANT,True,4450.00,4450.00,,https://scentoria.co.in/products/castling-extrait-de-parfum,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/20_ML_Decant_24ad44ed-0e80-4dcd-978c-3985bc8be810.jpg?v=1771826583
8898135195902,47817075884286,Mind Games,Castling Extrait De Parfum,30 ML DECANT,30 ML DECANT,True,6500.00,6500.00,,https://scentoria.co.in/products/castling-extrait-de-parfum,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/30_ML_Decant_70291977-f81e-4b50-b86d-d51eafd8b2dc.jpg?v=1771826583
8898135195902,47890692243710,Mind Games,Castling Extrait De Parfum,100 ML TESTER,100 ML TESTER,True,19500.00,550.00,,https://scentoria.co.in/products/castling-extrait-de-parfum,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/image_64fcccd4-3e26-422b-a703-9e20938001a9.webp?v=1773127316
